date,entity,segment,product_type,volume_in,volume_converted,volume_lost,revenue_per_unit
2023-05-01,ERCOT North,Paid Search,Term,57,48,9,76.96
2023-05-02,ERCOT North,Paid Search,Term,59,51,8,77.84
2023-05-03,ERCOT North,Paid Search,Term,57,49,8,78.27
2023-05-04,ERCOT North,Paid Search,Term,58,50,8,76.59
2023-05-05,ERCOT North,Paid Search,Term,60,53,7,76.63
2023-05-06,ERCOT North,Paid Search,Term,45,40,5,76.55
2023-05-07,ERCOT North,Paid Search,Term,47,40,7,75.48
2023-05-08,ERCOT North,Paid Search,Term,58,50,8,77.84
2023-05-09,ERCOT North,Paid Search,Term,60,52,8,76.33
2023-05-10,ERCOT North,Paid Search,Term,57,49,8,76.08
2023-05-11,ERCOT North,Paid Search,Term,55,47,8,78.21
2023-05-12,ERCOT North,Paid Search,Term,59,52,7,78.0
2023-05-13,ERCOT North,Paid Search,Term,52,44,8,78.22
2023-05-14,ERCOT North,Paid Search,Term,52,46,6,75.86
2023-05-15,ERCOT North,Paid Search,Term,55,47,8,77.45
2023-05-16,ERCOT North,Paid Search,Term,56,49,7,77.01
2023-05-17,ERCOT North,Paid Search,Term,59,51,8,78.85
2023-05-18,ERCOT North,Paid Search,Term,53,46,7,74.73
2023-05-19,ERCOT North,Paid Search,Term,60,53,7,77.77
2023-05-20,ERCOT North,Paid Search,Term,48,40,8,77.99
2023-05-21,ERCOT North,Paid Search,Term,49,43,6,76.8
2023-05-22,ERCOT North,Paid Search,Term,55,49,6,77.79
2023-05-23,ERCOT North,Paid Search,Term,57,50,7,77.34
2023-05-24,ERCOT North,Paid Search,Term,59,51,8,77.46
2023-05-25,ERCOT North,Paid Search,Term,60,51,9,76.28
2023-05-26,ERCOT North,Paid Search,Term,56,47,9,78.4
2023-05-27,ERCOT North,Paid Search,Term,48,43,5,79.75
2023-05-28,ERCOT North,Paid Search,Term,52,46,6,77.12
2023-05-29,ERCOT North,Paid Search,Term,59,51,8,77.67
2023-05-30,ERCOT North,Paid Search,Term,57,47,10,77.83
2023-05-31,ERCOT North,Paid Search,Term,60,52,8,73.99
2023-06-01,ERCOT North,Paid Search,Term,59,52,7,76.5
2023-06-02,ERCOT North,Paid Search,Term,60,52,8,77.66
2023-06-03,ERCOT North,Paid Search,Term,56,48,8,79.65
2023-06-04,ERCOT North,Paid Search,Term,54,47,7,76.94
2023-06-05,ERCOT North,Paid Search,Term,60,50,10,77.02
2023-06-06,ERCOT North,Paid Search,Term,55,48,7,77.7
2023-06-07,ERCOT North,Paid Search,Term,63,55,8,75.35
2023-06-08,ERCOT North,Paid Search,Term,62,52,10,75.51
2023-06-09,ERCOT North,Paid Search,Term,56,48,8,77.31
2023-06-10,ERCOT North,Paid Search,Term,55,46,9,80.33
2023-06-11,ERCOT North,Paid Search,Term,54,46,8,77.25
2023-06-12,ERCOT North,Paid Search,Term,55,47,8,78.7
2023-06-13,ERCOT North,Paid Search,Term,56,47,9,76.2
2023-06-14,ERCOT North,Paid Search,Term,56,47,9,77.71
2023-06-15,ERCOT North,Paid Search,Term,60,51,9,76.53
2023-06-16,ERCOT North,Paid Search,Term,57,50,7,78.1
2023-06-17,ERCOT North,Paid Search,Term,52,45,7,73.68
2023-06-18,ERCOT North,Paid Search,Term,50,43,7,76.44
2023-06-19,ERCOT North,Paid Search,Term,57,49,8,76.69
2023-06-20,ERCOT North,Paid Search,Term,57,50,7,77.39
2023-06-21,ERCOT North,Paid Search,Term,62,53,9,74.02
2023-06-22,ERCOT North,Paid Search,Term,58,48,10,76.44
2023-06-23,ERCOT North,Paid Search,Term,63,53,10,77.63
2023-06-24,ERCOT North,Paid Search,Term,53,46,7,77.73
2023-06-25,ERCOT North,Paid Search,Term,55,47,8,77.21
2023-06-26,ERCOT North,Paid Search,Term,57,50,7,78.71
2023-06-27,ERCOT North,Paid Search,Term,58,50,8,80.05
2023-06-28,ERCOT North,Paid Search,Term,58,51,7,76.25
2023-06-29,ERCOT North,Paid Search,Term,57,48,9,75.45
2023-06-30,ERCOT North,Paid Search,Term,58,49,9,76.38
2023-07-01,ERCOT North,Paid Search,Term,52,45,7,77.96
2023-07-02,ERCOT North,Paid Search,Term,55,48,7,75.91
2023-07-03,ERCOT North,Paid Search,Term,59,50,9,79.37
2023-07-04,ERCOT North,Paid Search,Term,59,50,9,79.13
2023-07-05,ERCOT North,Paid Search,Term,61,52,9,78.79
2023-07-06,ERCOT North,Paid Search,Term,61,53,8,75.42
2023-07-07,ERCOT North,Paid Search,Term,61,51,10,77.14
2023-07-08,ERCOT North,Paid Search,Term,53,45,8,78.48
2023-07-09,ERCOT North,Paid Search,Term,51,47,4,78.0
2023-07-10,ERCOT North,Paid Search,Term,60,51,9,75.63
2023-07-11,ERCOT North,Paid Search,Term,63,54,9,76.65
2023-07-12,ERCOT North,Paid Search,Term,55,47,8,75.89
2023-07-13,ERCOT North,Paid Search,Term,60,51,9,78.8
2023-07-14,ERCOT North,Paid Search,Term,60,50,10,77.03
2023-07-15,ERCOT North,Paid Search,Term,56,47,9,78.02
2023-07-16,ERCOT North,Paid Search,Term,49,42,7,72.69
2023-07-17,ERCOT North,Paid Search,Term,60,52,8,79.62
2023-07-18,ERCOT North,Paid Search,Term,59,50,9,78.51
2023-07-19,ERCOT North,Paid Search,Term,60,51,9,77.18
2023-07-20,ERCOT North,Paid Search,Term,56,49,7,78.61
2023-07-21,ERCOT North,Paid Search,Term,61,51,10,75.99
2023-07-22,ERCOT North,Paid Search,Term,56,47,9,76.35
2023-07-23,ERCOT North,Paid Search,Term,55,48,7,76.49
2023-07-24,ERCOT North,Paid Search,Term,60,52,8,77.77
2023-07-25,ERCOT North,Paid Search,Term,60,53,7,76.88
2023-07-26,ERCOT North,Paid Search,Term,58,51,7,78.09
2023-07-27,ERCOT North,Paid Search,Term,61,53,8,80.04
2023-07-28,ERCOT North,Paid Search,Term,59,51,8,75.76
2023-07-29,ERCOT North,Paid Search,Term,55,48,7,78.52
2023-07-30,ERCOT North,Paid Search,Term,56,48,8,78.31
2023-07-31,ERCOT North,Paid Search,Term,60,51,9,76.35
2023-08-01,ERCOT North,Paid Search,Term,62,53,9,76.49
2023-08-02,ERCOT North,Paid Search,Term,61,53,8,79.77
2023-08-03,ERCOT North,Paid Search,Term,57,49,8,76.94
2023-08-04,ERCOT North,Paid Search,Term,58,50,8,76.02
2023-08-05,ERCOT North,Paid Search,Term,54,45,9,75.06
