posting_date,document_date,cost_center,gl_account,amount,vendor,description
2023-05-01,2023-05-01,CC-NORTH-PS,6010,5162.07,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-02,2023-05-02,CC-NORTH-PS,6010,5262.29,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-03,2023-05-03,CC-NORTH-PS,6010,5168.87,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-04,2023-05-04,CC-NORTH-PS,6010,5109.06,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-05,2023-05-05,CC-NORTH-PS,6010,5167.42,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-06,2023-05-06,CC-NORTH-PS,6010,4494.22,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-07,2023-05-07,CC-NORTH-PS,6010,4907.73,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-08,2023-05-08,CC-NORTH-PS,6010,5040.96,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-09,2023-05-09,CC-NORTH-PS,6010,5143.68,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-10,2023-05-10,CC-NORTH-PS,6010,5378.26,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-11,2023-05-11,CC-NORTH-PS,6010,4997.47,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-12,2023-05-12,CC-NORTH-PS,6010,5179.65,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-13,2023-05-13,CC-NORTH-PS,6010,4658.53,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-14,2023-05-14,CC-NORTH-PS,6010,4585.08,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-15,2023-05-15,CC-NORTH-PS,6010,5369.13,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-16,2023-05-16,CC-NORTH-PS,6010,5008.04,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-17,2023-05-17,CC-NORTH-PS,6010,5283.54,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-18,2023-05-18,CC-NORTH-PS,6010,5033.31,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-19,2023-05-19,CC-NORTH-PS,6010,5343.45,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-20,2023-05-20,CC-NORTH-PS,6010,4665.11,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-21,2023-05-21,CC-NORTH-PS,6010,4670.27,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-22,2023-05-22,CC-NORTH-PS,6010,5428.89,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-23,2023-05-23,CC-NORTH-PS,6010,5182.01,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-24,2023-05-24,CC-NORTH-PS,6010,5095.76,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-25,2023-05-25,CC-NORTH-PS,6010,5020.22,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-26,2023-05-26,CC-NORTH-PS,6010,5477.35,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-27,2023-05-27,CC-NORTH-PS,6010,4657.1,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-28,2023-05-28,CC-NORTH-PS,6010,4424.48,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-29,2023-05-29,CC-NORTH-PS,6010,5223.15,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-30,2023-05-30,CC-NORTH-PS,6010,5056.94,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-05-31,2023-05-31,CC-NORTH-PS,6010,5393.11,SearchAds Media,Paid Search acquisition spend — 2023-05
2023-06-01,2023-06-01,CC-NORTH-PS,6010,5400.76,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-02,2023-06-02,CC-NORTH-PS,6010,5214.49,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-03,2023-06-03,CC-NORTH-PS,6010,4698.77,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-04,2023-06-04,CC-NORTH-PS,6010,4551.03,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-05,2023-06-05,CC-NORTH-PS,6010,5561.03,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-06,2023-06-06,CC-NORTH-PS,6010,5182.41,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-07,2023-06-07,CC-NORTH-PS,6010,5427.43,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-08,2023-06-08,CC-NORTH-PS,6010,5803.73,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-09,2023-06-09,CC-NORTH-PS,6010,5401.13,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-10,2023-06-10,CC-NORTH-PS,6010,4960.01,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-11,2023-06-11,CC-NORTH-PS,6010,4800.16,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-12,2023-06-12,CC-NORTH-PS,6010,5693.98,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-13,2023-06-13,CC-NORTH-PS,6010,5180.08,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-14,2023-06-14,CC-NORTH-PS,6010,5350.5,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-15,2023-06-15,CC-NORTH-PS,6010,5467.68,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-16,2023-06-16,CC-NORTH-PS,6010,5483.49,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-17,2023-06-17,CC-NORTH-PS,6010,5215.02,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-18,2023-06-18,CC-NORTH-PS,6010,5249.22,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-19,2023-06-19,CC-NORTH-PS,6010,5211.29,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-20,2023-06-20,CC-NORTH-PS,6010,5714.14,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-21,2023-06-21,CC-NORTH-PS,6010,5665.33,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-22,2023-06-22,CC-NORTH-PS,6010,5800.42,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-23,2023-06-23,CC-NORTH-PS,6010,5165.27,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-24,2023-06-24,CC-NORTH-PS,6010,5027.91,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-25,2023-06-25,CC-NORTH-PS,6010,4624.49,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-26,2023-06-26,CC-NORTH-PS,6010,5332.27,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-27,2023-06-27,CC-NORTH-PS,6010,5497.44,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-28,2023-06-28,CC-NORTH-PS,6010,5669.49,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-29,2023-06-29,CC-NORTH-PS,6010,5579.62,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-06-30,2023-06-30,CC-NORTH-PS,6010,5484.25,SearchAds Media,Paid Search acquisition spend — 2023-06
2023-07-01,2023-07-01,CC-NORTH-PS,6010,4545.18,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-02,2023-07-02,CC-NORTH-PS,6010,4900.31,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-03,2023-07-03,CC-NORTH-PS,6010,5501.63,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-04,2023-07-04,CC-NORTH-PS,6010,5957.9,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-05,2023-07-05,CC-NORTH-PS,6010,5439.32,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-06,2023-07-06,CC-NORTH-PS,6010,5699.43,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-07,2023-07-07,CC-NORTH-PS,6010,5591.26,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-08,2023-07-08,CC-NORTH-PS,6010,4828.46,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-09,2023-07-09,CC-NORTH-PS,6010,4905.07,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-10,2023-07-10,CC-NORTH-PS,6010,5317.47,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-11,2023-07-11,CC-NORTH-PS,6010,5745.52,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-12,2023-07-12,CC-NORTH-PS,6010,5373.55,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-13,2023-07-13,CC-NORTH-PS,6010,5197.75,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-14,2023-07-14,CC-NORTH-PS,6010,5569.81,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-15,2023-07-15,CC-NORTH-PS,6010,5309.34,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-16,2023-07-16,CC-NORTH-PS,6010,4820.24,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-17,2023-07-17,CC-NORTH-PS,6010,5633.27,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-18,2023-07-18,CC-NORTH-PS,6010,5663.99,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-19,2023-07-19,CC-NORTH-PS,6010,5665.29,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-20,2023-07-20,CC-NORTH-PS,6010,5862.73,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-21,2023-07-21,CC-NORTH-PS,6010,5531.33,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-22,2023-07-22,CC-NORTH-PS,6010,5350.25,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-23,2023-07-23,CC-NORTH-PS,6010,4733.61,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-24,2023-07-24,CC-NORTH-PS,6010,5493.71,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-25,2023-07-25,CC-NORTH-PS,6010,5262.57,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-26,2023-07-26,CC-NORTH-PS,6010,5594.86,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-27,2023-07-27,CC-NORTH-PS,6010,5465.09,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-28,2023-07-28,CC-NORTH-PS,6010,5584.59,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-29,2023-07-29,CC-NORTH-PS,6010,4927.86,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-30,2023-07-30,CC-NORTH-PS,6010,5190.51,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-07-31,2023-07-31,CC-NORTH-PS,6010,5249.42,SearchAds Media,Paid Search acquisition spend — 2023-07
2023-08-01,2023-08-01,CC-NORTH-PS,6010,5795.56,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-02,2023-08-02,CC-NORTH-PS,6010,5549.4,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-03,2023-08-03,CC-NORTH-PS,6010,5174.93,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-04,2023-08-04,CC-NORTH-PS,6010,5212.16,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-05,2023-08-05,CC-NORTH-PS,6010,4968.46,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-06,2023-08-06,CC-NORTH-PS,6010,5040.71,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-07,2023-08-07,CC-NORTH-PS,6010,5741.55,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-08,2023-08-08,CC-NORTH-PS,6010,5354.48,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-09,2023-08-09,CC-NORTH-PS,6010,5397.47,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-10,2023-08-10,CC-NORTH-PS,6010,5377.59,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-11,2023-08-11,CC-NORTH-PS,6010,5535.36,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-12,2023-08-12,CC-NORTH-PS,6010,4452.02,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-13,2023-08-13,CC-NORTH-PS,6010,4752.03,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-14,2023-08-14,CC-NORTH-PS,6010,5370.09,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-15,2023-08-15,CC-NORTH-PS,6010,5557.09,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-16,2023-08-16,CC-NORTH-PS,6010,5791.64,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-17,2023-08-17,CC-NORTH-PS,6010,5671.98,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-18,2023-08-18,CC-NORTH-PS,6010,5317.35,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-19,2023-08-19,CC-NORTH-PS,6010,5297.51,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-20,2023-08-20,CC-NORTH-PS,6010,5144.92,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-21,2023-08-21,CC-NORTH-PS,6010,5191.79,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-22,2023-08-22,CC-NORTH-PS,6010,5510.22,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-23,2023-08-23,CC-NORTH-PS,6010,5381.49,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-24,2023-08-24,CC-NORTH-PS,6010,5720.65,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-25,2023-08-25,CC-NORTH-PS,6010,5787.84,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-26,2023-08-26,CC-NORTH-PS,6010,4939.7,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-27,2023-08-27,CC-NORTH-PS,6010,5066.18,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-28,2023-08-28,CC-NORTH-PS,6010,5665.58,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-29,2023-08-29,CC-NORTH-PS,6010,5757.98,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-30,2023-08-30,CC-NORTH-PS,6010,5676.07,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-08-31,2023-08-31,CC-NORTH-PS,6010,5484.79,SearchAds Media,Paid Search acquisition spend — 2023-08
2023-09-01,2023-09-01,CC-NORTH-PS,6010,5389.21,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-02,2023-09-02,CC-NORTH-PS,6010,4951.87,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-03,2023-09-03,CC-NORTH-PS,6010,4825.41,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-04,2023-09-04,CC-NORTH-PS,6010,4973.85,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-05,2023-09-05,CC-NORTH-PS,6010,5571.09,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-06,2023-09-06,CC-NORTH-PS,6010,5296.02,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-07,2023-09-07,CC-NORTH-PS,6010,5327.84,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-08,2023-09-08,CC-NORTH-PS,6010,5484.13,SearchAds Media,Paid Search acquisition spend — 2023-09
2023-09-09,2023-09-09,CC-NORTH-PS,6010,4656.1,SearchAds Media,Paid Search acquisition spend — 2023-09
