date,entity,segment,product_type,reference_type,volume_in_ref,volume_converted_ref,cost_ref,cpa_ref,cogs_ref,ltv_ref,margin_ref
2023-05-01,ERCOT North,Paid Search,Term,plan,1727,1486,175300.61,118.0,40.0,150.0,37.5
2023-06-01,ERCOT North,Paid Search,Term,plan,1717,1477,174268.25,118.0,40.0,150.0,37.5
2023-07-01,ERCOT North,Paid Search,Term,plan,1782,1533,180837.36,118.0,40.0,150.0,37.5
2023-08-01,ERCOT North,Paid Search,Term,plan,1776,1527,180236.34,118.0,40.0,150.0,37.5
2023-09-01,ERCOT North,Paid Search,Term,plan,1665,1431,168915.49,118.0,40.0,150.0,37.5
2023-10-01,ERCOT North,Paid Search,Term,plan,1656,1424,168000.14,118.0,40.0,150.0,37.5
2023-11-01,ERCOT North,Paid Search,Term,plan,1542,1326,156457.8,118.0,40.0,150.0,37.5
2023-12-01,ERCOT North,Paid Search,Term,plan,1536,1321,155841.28,118.0,40.0,150.0,37.5
2024-01-01,ERCOT North,Paid Search,Term,plan,1528,1314,155073.62,118.0,40.0,150.0,37.5
2024-02-01,ERCOT North,Paid Search,Term,plan,1444,1241,146490.8,118.0,40.0,150.0,37.5
2024-03-01,ERCOT North,Paid Search,Term,plan,1584,1362,160744.32,118.0,40.0,150.0,37.5
2024-04-01,ERCOT North,Paid Search,Term,plan,1606,1381,162976.88,118.0,40.0,150.0,37.5
2024-05-01,ERCOT North,Paid Search,Term,plan,1727,1486,175300.61,118.0,40.0,150.0,37.5
2024-05-10,ERCOT North,Paid Search,Term,forecast,1727,1441,190446.58,132.16,40.0,150.0,37.5
2023-05-01,ERCOT North,Door_to_Door,Month_to_Month,plan,1007,886,84161.79,95.0,35.0,280.0,35.0
2023-06-01,ERCOT North,Door_to_Door,Month_to_Month,plan,992,873,82955.76,95.0,35.0,280.0,35.0
2023-07-01,ERCOT North,Door_to_Door,Month_to_Month,plan,972,855,81259.2,95.0,35.0,280.0,35.0
2023-08-01,ERCOT North,Door_to_Door,Month_to_Month,plan,1035,911,86531.43,95.0,35.0,280.0,35.0
2023-09-01,ERCOT North,Door_to_Door,Month_to_Month,plan,930,818,77727.94,95.0,35.0,280.0,35.0
2023-10-01,ERCOT North,Door_to_Door,Month_to_Month,plan,934,822,78082.4,95.0,35.0,280.0,35.0
2023-11-01,ERCOT North,Door_to_Door,Month_to_Month,plan,891,784,74477.57,95.0,35.0,280.0,35.0
2023-12-01,ERCOT North,Door_to_Door,Month_to_Month,plan,838,737,70027.22,95.0,35.0,280.0,35.0
2024-01-01,ERCOT North,Door_to_Door,Month_to_Month,plan,891,784,74450.82,95.0,35.0,280.0,35.0
2024-02-01,ERCOT North,Door_to_Door,Month_to_Month,plan,826,727,69093.52,95.0,35.0,280.0,35.0
2024-03-01,ERCOT North,Door_to_Door,Month_to_Month,plan,864,760,72230.4,95.0,35.0,280.0,35.0
2024-04-01,ERCOT North,Door_to_Door,Month_to_Month,plan,928,817,77580.8,95.0,35.0,280.0,35.0
2024-05-01,ERCOT North,Door_to_Door,Month_to_Month,plan,1007,886,84161.79,95.0,35.0,280.0,35.0
2023-05-01,ERCOT Coast,Paid Search,Term,plan,1508,1281,140959.1,110.0,40.0,180.0,36.0
2023-06-01,ERCOT Coast,Paid Search,Term,plan,1499,1274,140128.98,110.0,40.0,180.0,36.0
2023-07-01,ERCOT Coast,Paid Search,Term,plan,1555,1322,145411.2,110.0,40.0,180.0,36.0
2023-08-01,ERCOT Coast,Paid Search,Term,plan,1550,1318,144927.92,110.0,40.0,180.0,36.0
2023-09-01,ERCOT Coast,Paid Search,Term,plan,1453,1235,135824.83,110.0,40.0,180.0,36.0
2023-10-01,ERCOT Coast,Paid Search,Term,plan,1445,1228,135088.8,110.0,40.0,180.0,36.0
2023-11-01,ERCOT Coast,Paid Search,Term,plan,1346,1144,125807.62,110.0,40.0,180.0,36.0
2023-12-01,ERCOT Coast,Paid Search,Term,plan,1340,1139,125311.87,110.0,40.0,180.0,36.0
2024-01-01,ERCOT Coast,Paid Search,Term,plan,1334,1134,124694.59,110.0,40.0,180.0,36.0
2024-02-01,ERCOT Coast,Paid Search,Term,plan,1260,1071,117793.16,110.0,40.0,180.0,36.0
2024-03-01,ERCOT Coast,Paid Search,Term,plan,1382,1175,129254.4,110.0,40.0,180.0,36.0
2024-04-01,ERCOT Coast,Paid Search,Term,plan,1402,1191,131049.6,110.0,40.0,180.0,36.0
2024-05-01,ERCOT Coast,Paid Search,Term,plan,1508,1281,140959.1,110.0,40.0,180.0,36.0
2024-05-10,ERCOT Coast,Paid Search,Term,forecast,1508,1243,153137.97,123.2,40.0,180.0,36.0
2023-05-01,ERCOT Coast,Door_to_Door,Month_to_Month,plan,1510,1329,116940.6,88.0,34.0,272.0,34.0
2023-06-01,ERCOT Coast,Door_to_Door,Month_to_Month,plan,1488,1310,115264.84,88.0,34.0,272.0,34.0
2023-07-01,ERCOT Coast,Door_to_Door,Month_to_Month,plan,1458,1283,112907.52,88.0,34.0,272.0,34.0
